Label,          DepthPrepass,   DispatchMesh,   Misc
LucyPMOC,       51.50,          139.55,         29.556
LucyPOOC,       49.57,          234.91,         30.42
BunnyPMOC,      75.82,          404.89,         32.1526
BunnyPOOC,      74.22,          698.57,         30.21
TorusPMOC,      72.20,          316.01,         31.4482
TorusPOOC,      71.66,          562.18,         30.53
TerrainPMOC,    68.68,          311.95,         29.9444
TerrainPOOC,    68.33,          607.64,         31.68
HairballPMOC,   61.55,          948.44,         31.6354
HairballPOOC,   62.30,          1130.0,         31.68
