Label,      DepthPrepass,   DispatchMesh,   Misc
Lucy0,      49.17,          209.92,         34.606
Lucy1,      49.4340,        268.29,         22.052
Lucy2,      52.3980,        240.64,         30.002
Bunny0,     73.87,          724.99,         30.196
Bunny1,     73.944,         567.3,          28.132
Bunny2,     74.8120,        802.82,         28.032
Torus0,     73.278,         730.11,         31.684
Torus1,     70.8,           329.73,         32.622
Torus2,     72.765,         517.12,         27.875
Terrain0,   67.064,         712.7,          32.3
Terrain1,   64.512,         613.38,         34.94
Terrain2,   70.72,          541.7,          28.22
Hairball0,  62.51,          1050.0,         27.49
Hairball1,  62.5,           1360.0,         35.4
Hairball2,  62.52,          1020.0,         32.48
